gene	product	promoter_name	promoter_pos	gene_start_pos	map_start_pos	map_end_pos
thrL	throperon leader peptide	thrLp (Experim. ev.)	148	190	190	255
thrA	fused aspartate kinase/homoserine dehydrogenase 1	thrLp (Experim. ev.)	148	190	337	2799
thrB	homoserine kinase	thrLp (Experim. ev.)	148	190	2801	3733
thrC	threonine synthase	thrLp (Experim. ev.)	148	190	3734	5020
yaaX	DUF2502 domain-containing protein YaaX	yaaXp4 (No high-quality experim. ev.)	5030	5234	5234	5530
yaaA	peroxide stress resistance protein YaaA	yaaAp5 (No high-quality experim. ev.)	6615	6459	6459	5683
yaaJ	putative transporter YaaJ	yaaJp4 (No high-quality experim. ev.)	8017	7959	7959	6529
talB	transaldolase B	talBp (Experim. ev.)	8191	8238	8238	9191
mog	molybdopterin adenylyltransferase				9306	9893
satP	acetate/succinate:H+symporter				10494	9928
yaaW	putative enzyme-specific chaperone YaaW	yaaWp3 (No high-quality experim. ev.)	11542	11356	11356	10643
mbiA	uncharacterized protein MbiA	htgAp1 (Experim. ev.)	10644	10830	10830	11315
yaaI	DUF2541 domain-containing protein YaaI	yaaIp2 (No high-quality experim. ev.)	11938	11786	11786	11382
dnaK	chaperone protein DnaK	dnaKp1 (Experim. ev.)	12048	12163	12163	14079
dnaJ	chaperone protein DnaJ	dnaKp1 (Experim. ev.)	12048	12163	14168	15298
insL-1	IS186/IS421 transposase	insLp5 (No high-quality experim. ev.)	15380	15445	15445	16557
mokC	regulatory protein MokC				16960	16751
hokC	protein HokC	hokCp4 (No high-quality experim. ev.)	16951	16903	16903	16751
sokC	antisense RNA blocking mokC and hokC translation				16952	17006
nhaA	Na+:H+antiporter NhaA	nhaAp2 (Experim. ev.)	17317	17489	17489	18655
nhaR	DNA-binding transcriptional activator NhaR	nhaAp2 (Experim. ev.)	17317	17489	18715	19620
insB-1	IS1 protein InsB				20314	19811
insA-1	IS1 protein InsA				20508	20233
rpsT	30S ribosomal subunit protein S20	rpsTp1 (Experim. ev.)	21210	21078	21078	20815
yaaY	DUF2575 domain-containing protein YaaY				21181	21399
ribF	bifunctional riboflavin kinase / FMN adenylyltransferase	ribFp (Experim. ev.)	21383	21407	21407	22348
ileS	isoleucine—tRNA ligase	ileSp1 (Experim. ev.)	21833	22391	22391	25207
lspA	lipoprotein signal peptidase	lspAp (Experim. ev.)	25014	25207	25207	25701
fkpB	peptidyl-prolylcis-transisomerase FkpB	lspAp (Experim. ev.)	25014	25207	25826	26275
ispH	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase	lspAp (Experim. ev.)	25014	25207	26277	27227
rihC	ribonucleoside hydrolase RihC				27293	28207
dapB	4-hydroxy-tetrahydrodipicolinate reductase	dapBp2 (Experim. ev.)	28288	28374	28374	29195
carA	carbamoyl phosphate synthetase subunit α	carAp1 (Experim. ev.)	29551	29651	29651	30799
carB	carbamoyl phosphate synthetase subunit β	carBp (No high-quality experim. ev.)	30775	30817	30817	34038
caiF	DNA-binding transcriptional activator CaiF	caiFp (Experim. ev.)	34218	34300	34300	34695
caiE	putative transferase CaiE	caiEp3 (No high-quality experim. ev.)	35499	35371	35371	34781
caiD	crotonobetainyl-CoA hydratase				36162	35377
caiC	carnitine—CoA ligase	caiTp (Experim. ev.)	42037	41931	37824	36271
caiB	γ-butyrobetainyl-CoA:carnitine CoA transferase	caiTp (Experim. ev.)	42037	41931	39115	37898
caiA	crotonobetainyl-CoA reductase				40386	39244
caiT	L-carnitine:γ-butyrobetaine antiporter	caiTp (Experim. ev.)	42037	41931	41931	40417
fixA	putative electron transfer flavoprotein FixA	fixAp (Experim. ev.)	42325	42403	42403	43173
fixB	putative electron transfer flavoprotein FixB				43188	44129
fixC	putative oxidoreductase FixC	fixAp (Experim. ev.)	42325	42403	44180	45466
fixX	putative ferredoxin FixX				45463	45750
yaaU	putative transporter YaaU				45807	47138
kefF	regulator of KefC-mediated potassium transport and quinone oxidoreductase				47246	47776
kefC	K+: H+antiporter KefC				47769	49631
folA	dihydrofolate reductase	folAp (No high-quality experim. ev.)	49799	49823	49823	50302
apaH	diadenosine tetraphosphatase	apaHp4 (No high-quality experim. ev.)	51293	51222	51222	50380
apaG	DUF525 domain-containing protein ApaG	apaGp (Experim. ev.)	52034	51606	51606	51229
rsmA	16S rRNA m62A1518,m62A1519 dimethyltransferase	rsmAp (Experim. ev.)	52588	52430	52430	51609
pdxA	4-hydroxythreonine-4-phosphate dehydrogenase	impp3 (Experim. ev.)	57336	57109	53416	52427
surA	peptidyl-prolylcis-transisomerase SurA	impp3 (Experim. ev.)	57336	57109	54702	53416
lptD	lipopolysaccharide assembly protein LptD	impp3 (Experim. ev.)	57336	57109	57109	54755
djlA	co-chaperone protein DjlA	djlAp3 (No high-quality experim. ev.)	57268	57364	57364	58179
yabP	putative uncharacterized protein YabP				58474	59124
yabQ	protein YabQ				59121	59279
rluA	23S rRNA pseudouridine746and tRNA pseudouridine32synthase				60346	59687
rapA	RNA polymerase-binding ATPase and RNAP recycling factor	hepAp2 (Experim. ev.)	63588	63264	63264	60358
polB	DNA polymerase II				65780	63429
araD	L-ribulose-5-phosphate 4-epimerase AraD	araBp (Experim. ev.)	70075	70048	66550	65855
araA	L-arabinose isomerase	araBp (Experim. ev.)	70075	70048	68337	66835
araB	ribulokinase	araBp (Experim. ev.)	70075	70048	70048	68348
araC	DNA-binding transcriptional dual regulator AraC	araCp (Experim. ev.)	70241	70387	70387	71265
yabI	DedA family protein YabI	yabIp (Experim. ev.)	71271	71351	71351	72115
thiQ	thiamin ABC transporter ATP binding subunit	thiQp2 (No high-quality experim. ev.)	73085	72927	72927	72229
thiP	thiamin ABC transporter membrane subunit				74521	72911
thiB	thiamin ABC transporter periplasmic binding protein	sroAp (Experim. ev.)	75608	75480	75480	74497
sgrR	DNA-binding transcriptional dual regulator SgrR	sgrRp (No high-quality experim. ev.)	77338	77299	77299	75644
sgrS	small regulatory RNA SgrS	sgrSp (Experim. ev.)	77367	77367	77367	77593
sgrT	putative inhibitor of the PtsG glucose transporter	sgrSp (Experim. ev.)	77367	77367	77388	77519
setA	sugar exporter SetA	sgrSp (Experim. ev.)	77367	77367	77621	78799
leuD	3-isopropylmalate dehydratase subunit LeuD	leuDp4 (No high-quality experim. ev.)	79594	79453	79453	78848
leuC	3-isopropylmalate dehydratase subunit LeuC	leuLp2 (Experim. ev.)	84024	83708	80864	79464
leuB	3-isopropylmalate dehydrogenase	leuLp2 (Experim. ev.)	84024	83708	81958	80867
leuA	2-isopropylmalate synthase	leuLp2 (Experim. ev.)	84024	83708	83529	81958
leuL	leuoperon leader peptide	leuLp2 (Experim. ev.)	84024	83708	83708	83622
leuO	DNA-binding transcriptional dual regulator LeuO	leuOp1 (Experim. ev.)	84154	84368	84368	85312
yabR	protein YabR				85511	85467
ilvI	acetolactate synthase / acetohydroxybutanoate synthase, catalytic subunit	ilvIp4 (Experim. ev.)	85420	85630	85630	87354
ilvH	acetolactate synthase / acetohydroxybutanoate synthase, regulatory subunit	ilvIp4 (Experim. ev.)	85420	85630	87357	87848
cra	DNA-binding transcriptional dual regulator Cra	fruRp8 (No high-quality experim. ev.)	87947	88028	88028	89032
mraZ	DNA-binding transcriptional repressor MraZ	mraZp (Experim. ev.)	89596	89634	89634	90092
rsmH	16S rRNA m4C1402 methyltransferase	mraWp1 (Experim. ev.)	90010	90094	90094	91035
ftsL	cell division protein FtsL	ftsLp1 (Experim. ev.)	90688	91032	91032	91397
ftsI	peptidoglycan DD-transpeptidase FtsI	ftsLp1 (Experim. ev.)	90688	91032	91413	93179
murE	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate—2,6-diaminopimelate ligase	ftsLp1 (Experim. ev.)	90688	91032	93166	94653
murF	D-alanyl-D-alanine-adding enzyme				94650	96008
mraY	phospho-N-acetylmuramoyl-pentapeptide-transferase	ftsLp1 (Experim. ev.)	90688	91032	96002	97084
murD	UDP-N-acetylmuramoyl-L-alanine—D-glutamate ligase	ftsLp1 (Experim. ev.)	90688	91032	97087	98403
ftsW	essential cell division protein FtsW	ftsLp1 (Experim. ev.)	90688	91032	98403	99647
